from,relationship,to
Company,HAS_PLANT,Plant
Company,HAS_GL_ACCOUNT,GLAccount
Plant,HAS_PROFIT_CENTER,ProfitCenter
ProfitCenter,HAS_COST_CENTER,CostCenter
CostCenter,POSTS_TO,GLAccount
AccountingDocument,HAS_ITEM,AccountingItem
AccountingItem,USES_GL,GLAccount
AccountingItem,FOR_COST_CENTER,CostCenter
AccountingItem,FOR_PROFIT_CENTER,ProfitCenter
AccountingItem,FOR_PLANT,Plant
COItem,FOR_COST_CENTER,CostCenter
COItem,FOR_PROFIT_CENTER,ProfitCenter
COItem,FOR_INTERNAL_ORDER,ProductionOrder
Plant,HAS_MATERIAL,Material
Material,STORED_AT,Inventory
Material,HAS_PURCHASE_ORDER,PurchaseOrder
Vendor,SUPPLIES,Material
Vendor,HAS_PURCHASE_ORDER,PurchaseOrder
PurchaseOrder,HAS_INVOICE,InvoiceReceipt
PurchaseOrder,FOR_MATERIAL,Material
Customer,HAS_SALES_ORDER,SalesOrder
SalesOrder,HAS_DELIVERY,Delivery
SalesOrder,HAS_BILLING,BillingDocument
Delivery,HAS_BILLING,BillingDocument
BillingDocument,POSTS_TO,RevenuePosting
Customer,HAS_AR,AccountingItem
Vendor,HAS_AP,AccountingItem
Plant,HAS_PRODUCTION_ORDER,ProductionOrder
ProductionOrder,HAS_OPERATION,ProductionOperation
ProductionOrder,HAS_CONFIRMATION,Confirmation
Material,HAS_PRODUCTION_ORDER,ProductionOrder
Equipment,LOCATED_AT,FunctionalLocation
MaintenanceOrder,FOR_EQUIPMENT,Equipment
MaintenanceOrder,FOR_FUNCTIONAL_LOCATION,FunctionalLocation
QualityNotification,FOR_MATERIAL,Material
InspectionLot,FOR_MATERIAL,Material
Asset,BELONGS_TO,Company
Project,HAS_WBS,WBSElement
Plan,HAS_REVENUE_PLAN,RevenuePlan
Plan,HAS_COGS_PLAN,COGSPlan
Plan,HAS_OPEX_PLAN,OpexPlan
Plan,HAS_CASH_PLAN,CashPlan
Plan,HAS_AR_PLAN,ARPlan
Plan,HAS_AP_PLAN,APPlan
Plan,HAS_CAPEX_PLAN,CapexPlan
Plan,HAS_MARGIN_PLAN,MarginPlan
Plan,HAS_DEMAND_PLAN,DemandPlan
Plan,HAS_SUPPLY_PLAN,SupplyPlan
Plan,HAS_PRODUCTION_PLAN,ProductionPlan
Plan,HAS_INVENTORY_PLAN,InventoryPlan
Plan,HAS_CAPACITY_PLAN,CapacityPlan
Plan,USES_SCENARIO,Scenario
Scenario,HAS_DRIVER,PlanningDriver
PlanningDriver,DRIVES,RevenuePlan
PlanningDriver,DRIVES,COGSPlan
PlanningDriver,DRIVES,DemandPlan
PlanningDriver,DRIVES,SupplyPlan
PlanningDriver,DRIVES,ProductionPlan
PlanningDriver,DRIVES,InventoryPlan
RevenuePlan,FOR_PLANT,Plant
RevenuePlan,FOR_CUSTOMER,Customer
RevenuePlan,FOR_PERIOD,FiscalPeriod
COGSPlan,FOR_PLANT,Plant
COGSPlan,FOR_MATERIAL,Material
OpexPlan,FOR_COST_CENTER,CostCenter
DemandPlan,FOR_CUSTOMER,Customer
DemandPlan,FOR_MATERIAL,Material
SupplyPlan,FOR_MATERIAL,Material
ProductionPlan,FOR_PLANT,Plant
ProductionPlan,FOR_MATERIAL,Material
InventoryPlan,FOR_PLANT,Plant
InventoryPlan,FOR_MATERIAL,Material
Variance,COMPARES,AccountingItem
Variance,COMPARES,RevenuePlan
Variance,COMPARES,COGSPlan
Variance,DRIVEN_BY,Plant
Variance,DRIVEN_BY,Customer
Variance,DRIVEN_BY,Material
Variance,DRIVEN_BY,CostCenter
Variance,DRIVEN_BY,GLAccount
Risk,ABOUT,Variance
Metric,MEASURED_BY,AnaplanLineItem
Metric,MEASURED_BY,SourceTable
AnaplanModule,HAS_LINE_ITEM,AnaplanLineItem
SourceTable,IMPLEMENTS,AccountingDocument
SourceTable,IMPLEMENTS,AccountingItem
SourceTable,IMPLEMENTS,Material
SourceTable,IMPLEMENTS,PurchaseOrder
SourceTable,IMPLEMENTS,SalesOrder
SourceTable,IMPLEMENTS,BillingDocument
SourceTable,IMPLEMENTS,ProductionOrder
SourceTable,IMPLEMENTS,Asset
